FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
15000,-0.0143,-0.46552,30,271.9353,1,0,0,0,0,513.5631,139.2945,2357.5,-1.9541,123.9652,0.11641,62.13,56.50119,0,1,117.6648,0,0,0,4,0
15010,0.0057,0.18934,30.02,272.5901,1,0,0,0,0,514.0798,139.3146,2357.097,-1.79459,125.359,-0.06439,61.425,56.50119,0,1,117.6648,0,0,0,4,0
15020,0.0257,0.84946,30.04,273.2502,1,0,0,0,0,514.5726,139.3347,2356.657,-1.68451,127.6246,-0.27167,60.51,56.50119,0,1,117.6648,0,0,0,4,0
15030,0.0457,1.51381,30.06,273.9146,1,0,0,0,0,515.0396,139.3546,2356.184,-1.60352,130.663,-0.38882,59.4,56.50119,0,1,117.6648,0,0,0,4,0
15040,0.0657,2.1794,30.08,274.5802,1,0,0,0,0,515.4833,139.3741,2355.689,-1.52985,134.2256,-0.36862,51.36,56.50119,0,1,117.6648,0,0,0,4,0
15050,0.0857,2.84182,30.1,275.2426,1,0,0,0,0,515.933,139.3938,2355.203,-1.46857,137.275,-0.16754,50.295,56.50119,0,1,119.0421,0,0,0,4,0
15060,0.1057,3.50272,30.12,275.9035,1,0,0,0,0,516.3936,139.4137,2354.729,-1.42575,139.7408,0.12848,49.32,56.50119,0,1,119.0421,0,0,0,4,0
15070,0.1257,4.16507,30.14,276.5659,1,0,0,0,0,516.8672,139.4332,2354.265,-1.34705,141.6212,0.19853,48.465,56.50119,0,1,119.0421,0,0,0,4,0
15080,0.1457,4.83102,30.16,277.2318,1,0,0,0,0,517.3542,139.4529,2353.811,-1.26904,142.9456,0.1446,47.385,56.50119,0,1,119.0421,0,0,0,4,0
