# FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
# n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
169170.00000,0.00000,2.36507,338.34000,20948.55000,2.00000,0.00000,11.00000,308.34170,0.00000,513.56930,139.29300,2357.60608,-1.98453,124.03300,0.20696,62.19000,56.50119,0.00000,1.00000,118.25370,0.00000,0.00000,0.00000,4.00000,0.00000
169180.00000,0.02000,4.73015,338.36000,20949.22000,2.00000,0.00000,0.00000,0.00000,0.00000,514.00140,139.31400,2357.16717,-1.82831,125.34700,0.00633,61.50000,56.50119,0.00000,1.00000,118.25370,0.00000,0.00000,0.00000,4.00000,0.00000
169190.00000,0.04000,7.09522,338.38000,20949.89000,2.00000,0.00000,0.00000,0.00000,0.00000,514.43280,139.33410,2356.71918,-1.69562,127.53540,-0.25549,60.58500,56.50119,0.00000,1.00000,118.25370,0.00000,0.00000,0.00000,4.00000,0.00000
169200.00000,0.06000,9.52118,338.40000,20950.57000,2.00000,0.00000,0.00000,0.00000,0.00000,514.86685,139.35400,2356.26551,-1.60239,130.53160,-0.39340,59.47500,56.50119,0.00000,1.00000,121.29790,0.00000,0.00000,0.00000,4.00000,0.00000
169210.00000,0.08000,11.94714,338.42000,20951.24000,2.00000,0.00000,0.00000,0.00000,0.00000,515.30426,139.37360,2355.81250,-1.52173,134.13770,-0.36014,51.40500,56.50119,0.00000,1.00000,121.29790,0.00000,0.00000,0.00000,4.00000,0.00000
169220.00000,0.10000,14.37310,338.44000,20951.92000,2.00000,0.00000,0.00000,0.00000,0.00000,515.74586,139.39340,2355.36623,-1.45953,137.32550,-0.16541,50.29500,56.50119,0.00000,1.00000,121.29790,0.00000,0.00000,0.00000,4.00000,0.00000
169230.00000,0.12000,16.79905,338.46000,20952.59000,2.00000,0.00000,0.00000,0.00000,0.00000,516.19696,139.41340,2354.92791,-1.41934,139.92910,0.13156,49.30500,56.50119,0.00000,1.00000,121.29790,0.00000,0.00000,0.00000,4.00000,0.00000
169240.00000,0.14000,19.22501,338.48000,20953.26000,2.00000,0.00000,0.00000,0.00000,0.00000,516.66165,139.43320,2354.49999,-1.34186,141.94440,0.20684,48.46500,56.50119,0.00000,1.00000,121.29790,0.00000,0.00000,0.00000,4.00000,0.00000
169250.00000,0.16000,21.62905,338.50000,20953.94000,2.00000,0.00000,0.00000,0.00000,0.00000,517.14595,139.45320,2354.08324,-1.26312,143.40010,0.16023,47.35500,56.50119,0.00000,1.00000,120.20200,0.00000,0.00000,0.00000,4.00000,0.00000
169260.00000,0.18000,24.03309,338.52000,20954.62000,2.00000,0.00000,0.00000,0.00000,0.00000,517.65153,139.47420,2353.67818,-1.21185,144.31880,0.16777,46.32000,56.50119,0.00000,1.00000,120.20200,0.00000,0.00000,0.00000,4.00000,0.00000
